time_s,time_min,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_voltage_v,battery_current_a,battery_soc,battery_soc_percent
0.0,0.0,1,600.0,350.0,-250.0,29.61488095238095,-8.44170200791912,0.903720238095238,90.37202380952381
60.0,1.0,1,601.2556165273943,354.15823381635516,-247.09738271103913,29.629589129923275,-8.339548065534684,0.9073972824808191,90.7397282480819
120.0,2.0,1,602.5051158172811,358.134732861516,-244.37038295576508,29.644134986051597,-8.243464788928678,0.9110337465128988,91.10337465128988
180.0,3.0,1,603.7424104347197,361.7557050458495,-241.98670538887018,29.658538956610457,-8.159090565549752,0.9146347391526143,91.46347391526143
240.0,4.0,1,604.961472404706,364.8628965095479,-240.0985758951581,29.67283053850898,-8.091529238626613,0.9182076346272446,91.82076346272446
300.0,5.0,1,606.156362579862,367.3205080756888,-238.83585450417326,29.68704695841994,-8.045119975681306,0.9217617396049854,92.17617396049855
360.0,6.0,1,607.3212595753644,369.0211303259031,-238.3001292494613,29.701231489922886,-8.023240697285983,0.9253078724807214,92.53078724807214
420.0,7.0,1,608.450488130146,369.8904379073655,-238.56005022278055,29.715431492912337,-8.028153664188972,0.9288578732280842,92.88578732280843
480.0,8.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.729696261296198,-8.060900008615953,0.932424065324049,93.2424065324049
540.0,9.0,1,610.5801345412646,369.0211303259031,-241.55900421536148,29.74407477345187,-8.121247880635556,0.9360186933629682,93.60186933629682
600.0,10.0,1,611.5701769743577,367.3205080756888,-244.24966889866886,29.75861344421965,-8.207696549992056,0.9396533610549126,93.96533610549126
660.0,11.0,1,612.503850668262,364.8628965095479,-247.64095415871407,29.77335397720529,-8.317536356445093,0.9433384943013219,94.33384943013219
720.0,12.0,1,613.376606858593,361.7557050458495,-251.62090181274357,29.788331411837,-8.446961944056957,0.9470828529592498,94.70828529592498
780.0,13.0,1,614.184193564921,358.134732861516,-256.049460703405,29.803572451164584,-8.59123385704722,0.9508931127911456,95.08931127911457
840.0,14.0,1,614.9226763059908,354.15823381635516,-260.7644424896356,29.819094144169917,-8.744881424931515,0.9547735360424795,95.47735360424795
900.0,15.0,1,615.5884572681198,350.0,-265.5884572681198,29.83490298091207,-8.901938023329231,0.958725745228017,95.8725745228017
960.0,16.0,1,616.178292833385,345.84176618364484,-270.3365266497401,29.850994440831695,-9.056198351635487,0.9627486102079238,96.27486102079239
1020.0,17.0,1,616.6893093822022,341.865267138484,-274.82404224371817,29.867353014774775,-9.20148638909408,0.9668382536936934,96.68382536936933
1080.0,18.0,1,617.1190172933127,338.2442949541505,-278.8747223391622,29.883952700628296,-9.331922223705668,0.9709881751570738,97.09881751570738
