feature,importance,rank
rule_pred_battery_voltage_sensor_drift,0.07795001388937613,1
battery_temp_measured,0.06591448480584679,2
physics_pred_reaction_wheel_degradation,0.05802489718844312,3
electronics_temp_measured,0.044556282007370475,4
electronics_temp_residual_c,0.04373593733051146,5
battery_temp_residual_c,0.040913657581481404,6
rule_confidence,0.03648303286609186,7
physics_confidence,0.035729889912736255,8
ml_thermal_ratio,0.02863766165492694,9
wheel_temp_measured,0.02843291855910627,10
physics_pred_thermal_anomaly,0.028113925632223712,11
wheel_temp_residual_c,0.026242150585109095,12
solar_relative_residual,0.025764945900218394,13
wheel_current_residual_a,0.025346982180494828,14
ml_battery_ratio,0.02527806418660758,15
rule_detected,0.024672966745292957,16
battery_innovation_v,0.023591117988586388,17
ml_power_ratio,0.023125562073965454,18
battery_voltage_measured,0.021814667803692168,19
ml_max_ratio,0.019141673997684162,20
ml_wheel_ratio,0.018128260894192547,21
battery_soc_measured,0.01626699943633203,22
physics_pred_telemetry_dropout,0.01592697602197745,23
battery_current_measured,0.015787649703388328,24
physics_detected,0.01464280341377074,25
rule_pred_solar_array_degradation,0.013991218983717973,26
physics_pred_solar_array_degradation,0.012469628808014867,27
missing_battery_current_measured,0.012077138634437113,28
missing_battery_voltage_measured,0.011989802818810513,29
missing_electronics_temp_measured,0.011699360312715772,30
missing_battery_temp_measured,0.01135659546212437,31
solar_power_w,0.010741378234715703,32
missing_wheel_temp_measured,0.010359769906341281,33
missing_wheel_current_measured,0.01033806419954286,34
missing_battery_soc_measured,0.010253553321594515,35
battery_soc_rate,0.010079324857156338,36
missing_count,0.009188742703529998,37
rule_pred_telemetry_dropout,0.00852232756121426,38
wheel_current_measured,0.007572037885394707,39
missing_wheel_speed_measured,0.007456231685462591,40
physics_pred_battery_degradation,0.006079289146219887,41
battery_temp_rate,0.004475406390378829,42
battery_voltage_rate,0.004275257824955118,43
physics_pred_battery_voltage_sensor_drift,0.0038964893466984407,44
wheel_speed_rate,0.003880092249838083,45
wheel_speed_measured,0.0038098474959878392,46
wheel_tracking_error_rpm,0.0035870371404814216,47
in_sunlight,0.003456799760211482,48
rule_pred_reaction_wheel_degradation,0.0032271371098264823,49
electronics_temp_rate,0.003010922719285365,50
wheel_temp_rate,0.0029290496974929687,51
wheel_current_rate,0.002917176741890492,52
load_power_w,0.0028934743148433845,53
wheel_target_speed_rpm,0.002865999100410784,54
rule_pred_thermal_anomaly,0.0024110119767976066,55
rule_pred_battery_degradation,0.002014119290312194,56
ml_persistent_anomaly,0.0019521919601703142,57
