class,rank,feature,sample_count,sample_fraction
nominal,1,rule_pred_battery_voltage_sensor_drift,4,1.0
nominal,2,battery_innovation_v,3,0.75
nominal,3,rule_detected,3,0.75
nominal,4,physics_confidence,3,0.75
nominal,5,ml_max_ratio,2,0.5
solar_array_degradation,1,battery_temp_measured,66,0.9850746268656716
solar_array_degradation,2,solar_relative_residual,38,0.5671641791044776
solar_array_degradation,3,rule_pred_solar_array_degradation,38,0.5671641791044776
solar_array_degradation,4,rule_confidence,38,0.5671641791044776
solar_array_degradation,5,physics_pred_solar_array_degradation,37,0.5522388059701493
battery_degradation,1,rule_pred_battery_voltage_sensor_drift,15,0.8333333333333334
battery_degradation,2,battery_innovation_v,15,0.8333333333333334
battery_degradation,3,battery_temp_measured,11,0.6111111111111112
battery_degradation,4,ml_battery_ratio,11,0.6111111111111112
battery_degradation,5,battery_soc_measured,8,0.4444444444444444
thermal_anomaly,1,electronics_temp_residual_c,72,1.0
thermal_anomaly,2,battery_temp_residual_c,72,1.0
thermal_anomaly,3,physics_pred_thermal_anomaly,72,1.0
thermal_anomaly,4,electronics_temp_measured,72,1.0
thermal_anomaly,5,battery_temp_measured,72,1.0
reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,72,1.0
reaction_wheel_degradation,2,physics_confidence,72,1.0
reaction_wheel_degradation,3,wheel_temp_residual_c,72,1.0
reaction_wheel_degradation,4,physics_detected,49,0.6805555555555556
reaction_wheel_degradation,5,wheel_current_residual_a,49,0.6805555555555556
battery_voltage_sensor_drift,1,rule_pred_battery_voltage_sensor_drift,72,1.0
battery_voltage_sensor_drift,2,rule_confidence,72,1.0
battery_voltage_sensor_drift,3,rule_detected,72,1.0
battery_voltage_sensor_drift,4,physics_pred_reaction_wheel_degradation,42,0.5833333333333334
battery_voltage_sensor_drift,5,battery_voltage_measured,38,0.5277777777777778
telemetry_dropout,1,physics_pred_telemetry_dropout,55,1.0
telemetry_dropout,2,ml_thermal_ratio,55,1.0
telemetry_dropout,3,missing_battery_current_measured,55,1.0
telemetry_dropout,4,missing_battery_voltage_measured,55,1.0
telemetry_dropout,5,missing_electronics_temp_measured,55,1.0
