scenario_id,fault_type,rows,fault_start_time_h,requested_severity,profile,ramp_duration_h,requested_noise_scale,realized_battery_voltage_noise_std_v,realized_battery_voltage_noise_scale,pre_fault_samples,active_fault_samples,pre_fault_missing_cells,active_fault_missing_cells,mean_active_battery_voltage_residual_v,internal_fault_name,output_file
1,solar_array_degradation,361,1.8578696273508724,0.5839478994290928,gradual,0.4964004216864384,1.0161880007322384,0.03263497433204989,1.0878324777349964,112,249,0,0,-0.0008415724298115283,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0001_solar_array_degradation.csv
2,solar_array_degradation,361,3.310287673354348,0.3064119150938292,gradual,0.4386422138844554,1.475221650121793,0.04136157469769121,1.378719156589707,199,162,0,0,-0.002743510216933079,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0002_solar_array_degradation.csv
3,solar_array_degradation,361,3.3397003210745564,0.5815224824867908,gradual,0.6121229570578814,1.3694214437816776,0.04066589871845437,1.3555299572818125,201,160,0,0,-0.0005423913637316868,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0003_solar_array_degradation.csv
4,solar_array_degradation,361,2.177624906627524,0.3667395293000954,abrupt,0.0,1.1443626325089362,0.03299872962626911,1.0999576542089704,131,230,0,0,0.000844999290495321,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0004_solar_array_degradation.csv
5,solar_array_degradation,361,2.361824121368863,0.5979083722835573,abrupt,0.0,1.0857764261540406,0.030955191779769978,1.0318397259923326,142,219,0,0,0.004461463003817913,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0005_solar_array_degradation.csv
6,solar_array_degradation,361,1.890795199743108,0.5569195226036318,gradual,0.4399932029961199,0.9070620909271648,0.02679550075803606,0.893183358601202,114,247,0,0,0.0012143207689101379,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0006_solar_array_degradation.csv
7,solar_array_degradation,361,3.249248114384359,0.6784773893128597,gradual,0.4760804629338337,1.4601148432347362,0.04199976809108701,1.3999922697029006,195,166,0,0,-0.001956575552850206,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0007_solar_array_degradation.csv
8,solar_array_degradation,361,2.365525479239904,0.7402697594025334,abrupt,0.0,1.2719961526003374,0.03851540240041586,1.2838467466805286,142,219,0,0,-0.00027758580004265317,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0008_solar_array_degradation.csv
9,solar_array_degradation,361,2.12764065452474,0.35693182778708,gradual,0.3823135831258861,1.1198327422386605,0.034449529592768306,1.148317653092277,128,233,0,0,-0.0007719224651184811,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0009_solar_array_degradation.csv
10,solar_array_degradation,361,1.8778127295089169,0.6387443950150669,gradual,0.6972026077007502,1.0291082375976224,0.031793616877393766,1.059787229246459,113,248,0,0,-0.0007354603349065609,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0010_solar_array_degradation.csv
11,solar_array_degradation,361,2.3403865198412674,0.4968978067502338,gradual,0.7405113782796986,1.1828831283721493,0.03381167834965278,1.1270559449884259,141,220,0,0,0.0005081540284609367,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0011_solar_array_degradation.csv
12,solar_array_degradation,361,1.503604707213638,0.6764186364653026,gradual,0.461235731049016,1.1249662668083955,0.026771911230486764,0.8923970410162255,91,270,0,0,-0.002379547204404065,solar_array_degradation,C:\Users\B.PC\Documents\SENTINEL-XAI\data\monte_carlo\scenario_0012_solar_array_degradation.csv
