fault_type,profile,scenarios,hybrid_detection_recall,raw_diagnosis_accuracy,end_to_end_correct_fraction,scenario_success_rate,mean_delay_min
battery_degradation,abrupt,8,0.3203044870211471,0.7657249529816657,0.16352510018904584,1.0,44.75864799974767
battery_degradation,gradual,12,0.29288903415815465,0.7273566431624282,0.13704068128786442,1.0,56.80975862091446
battery_voltage_sensor_drift,abrupt,7,0.853470314621856,0.8231046084301337,0.8008350734647282,1.0,1.1950232357100863
battery_voltage_sensor_drift,gradual,13,0.7806092164334841,0.76085585032983,0.7508491591208131,1.0,18.937296796343766
reaction_wheel_degradation,abrupt,5,0.8705361761986861,0.9022134791913311,0.8477361644887556,1.0,4.831666022325053
reaction_wheel_degradation,gradual,15,0.6691555705426457,0.7125175618861905,0.6229595058478231,1.0,21.261603254925635
solar_array_degradation,abrupt,4,0.5548236949016303,0.8760140811652309,0.5275147445488749,1.0,1.023519601955336
solar_array_degradation,gradual,16,0.5468469834020027,0.9004503113088613,0.5231639090818145,1.0,12.652326804808462
telemetry_dropout,abrupt,4,1.0,1.0,1.0,1.0,0.40461142637413294
telemetry_dropout,gradual,16,1.0,1.0,1.0,1.0,0.49400918881000094
thermal_anomaly,abrupt,9,0.9345158002777458,0.9543869269124734,0.9304443268169122,1.0,13.908112756247233
thermal_anomaly,gradual,11,0.8397060764126867,0.8852538324075178,0.8382581440600861,1.0,32.327908882540456
