fault_type,severity_bin,scenarios,hybrid_detection_recall,raw_diagnosis_accuracy,confidence_coverage,end_to_end_correct_fraction,scenario_success_rate
battery_degradation,low_0.20_0.40,7,0.0871403857074866,0.5909360310319969,0.24686087354257497,0.07444214845967491,1.0
battery_degradation,medium_0.40_0.60,7,0.41659277374794434,0.8307138998053193,0.404568475150584,0.2173796494508994,1.0
battery_degradation,high_0.60_0.80,6,0.4251620316465026,0.817088304323542,0.34045803146935666,0.15165606526545325,1.0
battery_voltage_sensor_drift,low_0.20_0.40,12,0.7150239749295841,0.6759111663721208,0.6963379417696718,0.66167864008132,1.0
battery_voltage_sensor_drift,medium_0.40_0.60,5,0.927273752255544,0.927273752255544,0.9597617027897462,0.9174354498252562,1.0
battery_voltage_sensor_drift,high_0.60_0.80,3,0.9685185185185184,0.9685185185185184,0.9576323286849604,0.9465212175738492,1.0
reaction_wheel_degradation,low_0.20_0.40,8,0.5351022709225904,0.5954361702202438,0.48743519942099267,0.46105842634925776,1.0
reaction_wheel_degradation,medium_0.40_0.60,7,0.8355898060186338,0.8647448319723997,0.8358470131962934,0.8204889697994572,1.0
reaction_wheel_degradation,high_0.60_0.80,5,0.8520135259243913,0.876425527736153,0.8406762661771893,0.8302366421541721,1.0
solar_array_degradation,low_0.20_0.40,5,0.5173119380955903,0.8874925494614103,0.6750098246652131,0.48868048794481134,1.0
solar_array_degradation,medium_0.40_0.60,10,0.5544563613951139,0.9210876888813762,0.7217961374652665,0.534613762771454,1.0
solar_array_degradation,high_0.60_0.80,5,0.5675446419218947,0.8525843338963783,0.6169358161427011,0.538228291213187,1.0
telemetry_dropout,low_0.20_0.40,5,1.0,1.0,1.0,1.0,1.0
telemetry_dropout,medium_0.40_0.60,6,1.0,1.0,1.0,1.0,1.0
telemetry_dropout,high_0.60_0.80,9,1.0,1.0,1.0,1.0,1.0
thermal_anomaly,low_0.20_0.40,6,0.8579757948141306,0.9016127182023378,0.873024611143201,0.8540543870238908,1.0
thermal_anomaly,medium_0.40_0.60,7,0.8793962571109187,0.9077482215278093,0.8953369327879958,0.8765402147496314,1.0
thermal_anomaly,high_0.60_0.80,7,0.9062543534825787,0.9376229483980377,0.911955292849002,0.9049615286603421,1.0
