fault_type,rank,feature,scenario_fraction
solar_array_degradation,1,solar_relative_residual,1.0
solar_array_degradation,2,physics_pred_solar_array_degradation,0.75
solar_array_degradation,3,battery_current_measured,0.55
solar_array_degradation,4,battery_temp_measured,0.55
solar_array_degradation,5,rule_pred_solar_array_degradation,0.55
battery_degradation,1,physics_confidence,0.75
battery_degradation,2,physics_pred_battery_degradation,0.75
battery_degradation,3,physics_pred_reaction_wheel_degradation,0.75
battery_degradation,4,rule_pred_battery_voltage_sensor_drift,0.75
battery_degradation,5,battery_temp_measured,0.65
thermal_anomaly,1,electronics_temp_residual_c,1.0
thermal_anomaly,2,physics_pred_thermal_anomaly,1.0
thermal_anomaly,3,battery_temp_residual_c,0.95
thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.75
thermal_anomaly,5,physics_confidence,0.5
reaction_wheel_degradation,1,physics_confidence,1.0
reaction_wheel_degradation,2,physics_pred_reaction_wheel_degradation,1.0
reaction_wheel_degradation,3,rule_pred_battery_voltage_sensor_drift,1.0
reaction_wheel_degradation,4,wheel_current_residual_a,0.8
reaction_wheel_degradation,5,physics_detected,0.75
battery_voltage_sensor_drift,1,rule_confidence,1.0
battery_voltage_sensor_drift,2,rule_detected,1.0
battery_voltage_sensor_drift,3,rule_pred_battery_voltage_sensor_drift,1.0
battery_voltage_sensor_drift,4,physics_pred_reaction_wheel_degradation,0.9
battery_voltage_sensor_drift,5,battery_innovation_v,0.5
telemetry_dropout,1,missing_battery_current_measured,1.0
telemetry_dropout,2,missing_battery_voltage_measured,1.0
telemetry_dropout,3,missing_electronics_temp_measured,1.0
telemetry_dropout,4,ml_thermal_ratio,1.0
telemetry_dropout,5,physics_pred_telemetry_dropout,1.0
