scenario_id,fault_type,time_h,prediction,confidence,severity,noise_scale,profile,estimator_prediction,original_probability,top5_probability_drop,random5_probability_drop,top5_beats_random,top5_prediction_flip,random5_flip_rate,reconstruction_error,top1_feature,top5_features,top5_positive_strength,class_consensus_overlap,severity_bin,noise_bin
1,solar_array_degradation,2.0,solar_array_degradation,0.8551366102831083,0.5839478994290928,1.0161880007322384,gradual,solar_array_degradation,0.8551366102831083,0.734550818438151,0.006802888656152128,True,True,0.0,1.4432899320127035e-15,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.41360504545803656,0.8,0.40-0.60,1.00-1.25
2,solar_array_degradation,3.5166666666666666,solar_array_degradation,0.7044047320594953,0.3064119150938292,1.475221650121793,gradual,solar_array_degradation,0.7044047320594953,0.6237764896342037,0.009705450101394097,True,True,0.0,3.3306690738754696e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_current_measured|ml_power_ratio|solar_power_w,0.37377832419569024,0.6,0.20-0.40,1.25-1.50
3,solar_array_degradation,3.55,solar_array_degradation,0.8698954872623784,0.5815224824867908,1.3694214437816776,gradual,solar_array_degradation,0.8698954872623784,0.6073084008676579,0.021257389687853644,True,True,0.0,9.992007221626409e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|rule_pred_solar_array_degradation|rule_confidence|rule_pred_battery_voltage_sensor_drift,0.439561935957359,0.6,0.40-0.60,1.25-1.50
4,solar_array_degradation,2.183333333333333,solar_array_degradation,0.89118004699759,0.3667395293000954,1.1443626325089362,abrupt,solar_array_degradation,0.89118004699759,0.64934292465868,0.0363986328397331,True,True,0.0,1.1102230246251565e-15,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|battery_temp_measured|rule_pred_battery_voltage_sensor_drift|ml_power_ratio,0.4165178194649671,0.6,0.20-0.40,1.00-1.25
5,solar_array_degradation,2.3833333333333333,solar_array_degradation,0.8344675367731179,0.5979083722835573,1.0857764261540406,abrupt,solar_array_degradation,0.8344675367731179,0.5650866114038287,0.014684015027586195,True,True,0.0,1.3322676295501878e-15,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|battery_temp_measured|rule_confidence|rule_pred_battery_voltage_sensor_drift,0.3919442941547501,0.6,0.40-0.60,1.00-1.25
6,solar_array_degradation,2.0166666666666666,solar_array_degradation,0.904866964700178,0.5569195226036318,0.9070620909271648,gradual,solar_array_degradation,0.904866964700178,0.7541171587929478,0.01752361383932346,True,True,0.0,7.771561172376096e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.41997471060689223,0.8,0.40-0.60,0.75-1.00
7,solar_array_degradation,3.3833333333333333,solar_array_degradation,0.8726896905453474,0.6784773893128597,1.4601148432347362,gradual,solar_array_degradation,0.8726896905453474,0.6082381716513581,0.03605066530302453,True,True,0.0,6.661338147750939e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|physics_pred_solar_array_degradation|rule_confidence|rule_pred_battery_voltage_sensor_drift,0.4338278989562729,0.6,0.60-0.80,1.25-1.50
8,solar_array_degradation,2.3666666666666667,solar_array_degradation,0.8043132569445456,0.7402697594025334,1.2719961526003374,abrupt,solar_array_degradation,0.8043132569445456,0.5826788335633466,0.015469841585115884,True,True,0.0,8.881784197001252e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|rule_confidence|rule_pred_battery_voltage_sensor_drift|battery_temp_measured,0.38035733615682293,0.6,0.60-0.80,1.25-1.50
9,solar_array_degradation,2.283333333333333,solar_array_degradation,0.8928063804516401,0.35693182778708,1.1198327422386605,gradual,solar_array_degradation,0.89280638045164,0.7758011779995478,0.009594832953781152,True,True,0.0,5.551115123125783e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.426898628930161,0.8,0.20-0.40,1.00-1.25
10,solar_array_degradation,2.033333333333333,solar_array_degradation,0.8877797027887939,0.6387443950150669,1.0291082375976224,gradual,solar_array_degradation,0.8877797027887939,0.7797630517136621,0.022884031998156928,True,True,0.0,1.1102230246251565e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.43170873894593575,0.8,0.60-0.80,1.00-1.25
