scenario_id,fault_type,rank,feature,shap_value
1,solar_array_degradation,1,solar_relative_residual,0.18196643003947527
1,solar_array_degradation,2,physics_pred_solar_array_degradation,0.07767156026803604
1,solar_array_degradation,3,battery_temp_measured,0.07051262089480229
1,solar_array_degradation,4,battery_current_measured,0.04416554191326973
1,solar_array_degradation,5,ml_power_ratio,0.039288892342453224
2,solar_array_degradation,1,solar_relative_residual,0.19241690786837987
2,solar_array_degradation,2,physics_pred_solar_array_degradation,0.08923503304304155
2,solar_array_degradation,3,battery_current_measured,0.037263691962087175
2,solar_array_degradation,4,ml_power_ratio,0.02917472361776428
2,solar_array_degradation,5,solar_power_w,0.025687967704417343
3,solar_array_degradation,1,solar_relative_residual,0.18322907006436467
3,solar_array_degradation,2,physics_pred_solar_array_degradation,0.09068177594743915
3,solar_array_degradation,3,rule_pred_solar_array_degradation,0.08998922011764385
3,solar_array_degradation,4,rule_confidence,0.043174221278723834
3,solar_array_degradation,5,rule_pred_battery_voltage_sensor_drift,0.03248764854918747
4,solar_array_degradation,1,solar_relative_residual,0.18861261510112282
4,solar_array_degradation,2,rule_pred_solar_array_degradation,0.08023845549365882
4,solar_array_degradation,3,battery_temp_measured,0.06894657299161339
4,solar_array_degradation,4,rule_pred_battery_voltage_sensor_drift,0.039626379045693744
4,solar_array_degradation,5,ml_power_ratio,0.03909379683287835
5,solar_array_degradation,1,solar_relative_residual,0.17047908811363327
5,solar_array_degradation,2,rule_pred_solar_array_degradation,0.0830496095005983
5,solar_array_degradation,3,battery_temp_measured,0.06032475434327762
5,solar_array_degradation,4,rule_confidence,0.03964624631900233
5,solar_array_degradation,5,rule_pred_battery_voltage_sensor_drift,0.038444595878238584
6,solar_array_degradation,1,solar_relative_residual,0.1911558948710464
6,solar_array_degradation,2,physics_pred_solar_array_degradation,0.078295815804816
6,solar_array_degradation,3,battery_temp_measured,0.0679921721640602
6,solar_array_degradation,4,battery_current_measured,0.04314564335633275
6,solar_array_degradation,5,ml_power_ratio,0.03938518441063694
7,solar_array_degradation,1,solar_relative_residual,0.1751241232898075
7,solar_array_degradation,2,rule_pred_solar_array_degradation,0.09217317403939165
7,solar_array_degradation,3,physics_pred_solar_array_degradation,0.09157464587589141
7,solar_array_degradation,4,rule_confidence,0.04219391064784488
7,solar_array_degradation,5,rule_pred_battery_voltage_sensor_drift,0.032762045103337405
8,solar_array_degradation,1,solar_relative_residual,0.18434970097168782
8,solar_array_degradation,2,rule_pred_solar_array_degradation,0.0830392336032298
8,solar_array_degradation,3,rule_confidence,0.040023031579501274
8,solar_array_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03743470928041361
8,solar_array_degradation,5,battery_temp_measured,0.03551066072199044
9,solar_array_degradation,1,solar_relative_residual,0.1939082854766701
9,solar_array_degradation,2,physics_pred_solar_array_degradation,0.08124235556817867
9,solar_array_degradation,3,battery_temp_measured,0.0664214431287742
9,solar_array_degradation,4,battery_current_measured,0.045167320374782625
9,solar_array_degradation,5,ml_power_ratio,0.04015922438175543
10,solar_array_degradation,1,solar_relative_residual,0.19200364708523673
10,solar_array_degradation,2,physics_pred_solar_array_degradation,0.08021310135077848
10,solar_array_degradation,3,battery_temp_measured,0.07420973213498545
