phase,component,metric,value,experiment
3,Rule-based detection,Precision,1.0,013/015
3,Rule-based detection,Recall,0.5634,013/015
3,Rule-based detection,F1,0.7207,013/015
3,Rule-based detection,Mean detection delay [min],33.7,014/015
4,Model-based detection,Recall,0.6488,023
4,Model-based detection,F1,0.787,023
4,Model-based detection,Classification accuracy,0.6408,023
4,Model-based detection,Mean diagnosis delay [min],16.7,023
5,Unsupervised subsystem ML,Precision,0.9174,032
5,Unsupervised subsystem ML,Recall,0.1448,032
5,Unsupervised subsystem ML,F1,0.2502,032
6,Hybrid detection,Precision,1.0,035
6,Hybrid detection,Recall,0.7487,035
6,Hybrid detection,F1,0.8563,035
6,Hybrid detection,Classification accuracy,0.7451,035
6,Hybrid detection,Mean diagnosis delay [min],15.5,035
7,Random Forest diagnosis,Raw accuracy,0.9332,037/040
7,Random Forest diagnosis,Balanced accuracy,0.9447,037/040
7,Random Forest diagnosis,Macro F1,0.9419,037/040
7,Confidence-aware diagnosis,Selective coverage,0.687,039/040
7,Confidence-aware diagnosis,Accepted accuracy,1.0,039/040
8,Explainable AI,SHAP top-5 probability drop,0.7026,043/045
8,Explainable AI,Random-5 probability drop,0.0145,043/045
8,Explainable AI,Consensus overlap,0.7536,043/045
9,Independent Monte Carlo,Scenarios,120.0,046-052
9,Independent hybrid detection,Precision,0.997,048
9,Independent hybrid detection,Recall,0.71,048
9,Independent hybrid detection,F1,0.8294,048
9,Independent diagnosis,Raw accuracy,0.8527,048
9,Independent diagnosis,Macro F1,0.9003,048
9,Independent confidence gate,Coverage,0.7371,050
9,Independent confidence gate,Accepted accuracy,0.9783,050
9,Independent confidence gate,Error-capture rate,0.8913,050
9,Independent XAI,SHAP top-5 probability drop,0.6305,051
9,Independent XAI,Random-5 probability drop,0.0148,051
9,Independent XAI,Consensus overlap,0.84,051
9,End-to-end system,Scenario success rate,1.0,048/052
